景点名字,经纬度,地址,已售票数
拙政园,"120.635191,31.330583",江苏省苏州市平江区东北街178号,2679
常州中华恐龙园,"120.007837,31.83031",江苏省常州市新北区河海东路60号,1566
南京总统府,"118.803688,32.049877",江苏省南京市玄武区长江路292号,2243
鼋头渚,"120.233458,31.529306",江苏省无锡市滨湖区鼋头渚1号,2133
瘦西湖,"119.430517,32.419989",江苏省扬州市维扬区长春路118号,1360
虎丘,"120.587069,31.341637",江苏省苏州市金阊区山塘街虎丘山门内8号,812
同里古镇,"120.725441,31.163773",江苏省苏州市吴江市同里镇,922
常州环球动漫嬉戏谷,"120.055595,31.507177",江苏省常州市武进区太湖湾嬉戏谷大道1号,622
周庄,"120.854425,31.120241",江苏省苏州市昆山周庄全福路43号,732
狮子林,"120.635345,31.327256",江苏省苏州市平江区园林路23号,600
中山陵,"118.860335,32.063934",江苏省南京市玄武区石象路7号,442
常州淹城野生动物园,"119.933991,31.704617",江苏省常州市武进区武宣中路588号,626
姑苏水上游,"120.610356,31.317238",江苏省苏州市金阊区石路名人街25号万人码头,1028
灵山大佛,"120.102895,31.436399",江苏省无锡市滨湖区灵山路1号,1002
无锡三国城,"120.239237,31.481725",江苏省无锡市山水城旅游度假区三国城,484
夫子庙,"118.795398,32.026977",江苏省南京市秦淮区龙蟠中路夫子庙,386
寒山寺,"120.574213,31.316189",江苏省苏州市金阊区寒山寺弄24号,718
明孝陵,"118.84258,32.056109",江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下,248
灵山小镇拈花湾,"120.079209,31.419262",江苏省无锡市滨湖区马山环山西路,678
留园,"120.598937,31.321719",江苏省苏州金阊区阊门外留园路338号,216
天目湖南山竹海景区,"119.539659,31.181493",江苏省常州溧阳市横涧镇李家园下场园10号,304
牛首山文化旅游区,"118.751653,31.918951",江苏省南京市江宁区宁丹大道18号,450
南京海底世界,"118.851911,32.059936",江苏省南京玄武区瓮仲路四方城8号,408
宜兴竹海,"119.714376,31.177184",江苏省无锡宜兴市湖滏镇竹海村,342
苏州乐园,"120.553169,31.298449",江苏省苏州市长江路397号,32
沙家浜,"120.807985,31.559447",江苏省苏州市常熟市阳澄湖畔,496
天目湖御水温泉,"119.539476,31.188079",江苏省常州市溧阳市南山竹海景区,238
七里山塘,"120.609739,31.322922",江苏省苏州市金阊区广济路218号,138
无锡水浒城,"120.245147,31.490816",江苏省无锡市山水城旅游度假区水浒城,298
淹城春秋乐园,"119.939463,31.706124",江苏省常州市武进区武宜南路197号,138
南京阅江楼,"118.75312,32.099764",江苏省南京市下关区建宁路202号,8
天目湖旅游度假区,"119.452306,31.324063",江苏省常州市溧阳天目湖镇迎宾大道,238
金鸡湖,"120.70487,31.318457",江苏省苏州市吴中区苏州工业园区,70
南通森林野生动物园,"120.836401,32.107125",南通市港闸区通刘路299号南通森林野生动物园,392
运河湾森林动物园,"118.327094,33.987444",江苏省宿迁市宿豫区金沙江路8号,1814
连云港花果山,"119.278096,34.648745",江苏省连云港市新浦区郁林路5号,130
大报恩寺遗址公园,"118.787634,32.015811",江苏省南京市秦淮区雨花路正学路1号,710
红山森林动物园,"118.813819,32.098851",江苏省南京市玄武区和燕路168号,386
苏州古运河,"120.618084,31.29814",江苏省苏州市沧浪区新市桥古运河观光码头,358
木渎古镇,"120.512729,31.260181",江苏省苏州市吴中区中山西路,112
无锡动物园·太湖欢乐园,"120.24286,31.589085",江苏省无锡市滨湖区钱荣路99号,248
苏州太湖国家湿地公园,"120.367492,31.326106",江苏省苏州市高新区太湖大道镇湖绣品街到底,80
钟山风景区,"118.861055,32.070422",江苏省南京市玄武区石象路7号,154
天目湖山水园,"119.444308,31.320446",江苏省常州市溧阳市环湖东路1号（天目湖宾馆对面）,162
锦溪古镇,"120.905582,31.180834",江苏省苏州昆山市锦溪镇文昌路,82
瞻园,"118.791288,32.027072",江苏省南京市秦淮区瞻园路128号,274
溱湖国家湿地公园,"120.09753,32.630055",江苏省泰州市姜堰市溱潼镇,112
镇江金山,"119.422532,32.225542",江苏省镇江市润州区金山路62号,176
穹窿山景区,"120.429476,31.26785",江苏省苏州市吴中区穹窿山风景区,78
南京中国科举博物馆（江南贡院）,"118.796813,32.028209",江苏省南京市秦淮区夫子庙金陵路1号,222
夫子庙秦淮河游船,"118.778839,32.018368",江苏省南京市秦淮区,282
茅山,"119.323175,31.786851",江苏省镇江市句容市茅山风景区,66
个园,"119.450276,32.404901",江苏省扬州市广陵区盐阜东路10号,280
蠡园,"120.266196,31.523255",江苏省无锡市滨湖区环湖路青祁村70号,170
网师园,"120.64023,31.303679",江苏省苏州市沧浪区带城桥路带城桥路阔家头巷11号,104
窑湾古镇,"118.079437,34.186649",江苏省徐州新沂市窑湾镇,52
甪直古镇,"120.878241,31.276029",江苏省苏州市吴中区甪直古镇景区,88
项王故里,"118.306601,33.944663",江苏省宿迁市宿城区黄河南路,26
盘门,"120.622528,31.293535",江苏省苏州市沧浪区东大街49号,106
濠河,"120.864094,32.026871",江苏省南通市崇川区濠西路19号,28
善卷洞,"119.680087,31.303594",江苏省无锡宜兴市张渚镇川善线善卷洞,138
东方盐湖城,"119.347573,31.77078",江苏省常州市金坛区薛埠镇访仙路9号,262
黄海森林公园,"120.83246631121,32.876735482125",江苏省盐城市东台市花林路,10
重元寺,"120.788608,31.412087",江苏省苏州市工业园区唯亭镇阳澄半岛,188
六朝博物馆,"118.80529,32.049414",江苏省南京市玄武区长江路302号,70
北固山,"119.463648,32.222068",江苏省镇江市东吴路3号,42
尚湖,"120.692746,31.649622",江苏省苏州常熟尚湖风景区,20
南京大屠杀遇难同胞纪念馆,"118.748954,32.040883",江苏省南京市建邺区水西门大街418号,20
美龄宫,"118.85242916555,32.052003575182",江苏省南京市玄武区钟山中山陵景区内,202
南山,"119.458875,32.185477",江苏省镇江市润州区竹林路98号,28
镇江焦山,"119.491862,32.243623",江苏省镇江市东吴路焦山公园,74
宝华山国家森林公园,"119.094285,32.136718",江苏省镇江句容市宝华镇杨柳泉路,110
春秋淹城遗址公园,"119.931405,31.709256",江苏省常州市武进区武宜南路197号,40
白马涧,"120.497473,31.303671",江苏省苏州市高新区枫桥街道华山路,148
连岛,"119.458608,34.775286",江苏省连云港市连云区连岛镇连岛街道,48
连岛,"119.458608,34.775286",江苏省连云港市连云区连岛镇连岛街道,48
何园,"119.455447,32.39141",江苏省扬州市广陵区徐凝门大街66号　,114
